TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
,,,,,,,,,,,,,,,,,,,,,,,
GSW,GSW @ POR,04/09/2023,W,48,157,58,96,60.4,27,49,55.1,14,16,87.5,9,49,58,47,16,13,6,18,56
BKN,BKN vs. PHI,04/09/2023,L,48,105,35,83,42.2,12,32,37.5,23,28,82.1,10,32,42,22,19,6,6,22,-29
DET,DET @ CHI,04/09/2023,L,48,81,31,85,36.5,9,33,27.3,10,13,76.9,15,44,59,20,25,1,3,16,-22
DAL,DAL vs. SAS,04/09/2023,L,48,117,46,108,42.6,17,53,32.1,8,16,50.0,8,38,46,28,4,4,3,21,-21
MIL,MIL @ TOR,04/09/2023,L,48,105,38,82,46.3,12,34,35.3,17,21,81.0,7,31,38,28,14,5,2,13,-16
MEM,MEM @ OKC,04/09/2023,L,48,100,40,92,43.5,7,37,18.9,13,18,72.2,11,32,43,25,12,8,4,16,-15
SAC,SAC @ DEN,04/09/2023,L,48,95,37,85,43.5,11,43,25.6,10,15,66.7,10,24,34,24,15,7,6,18,-14
ORL,ORL @ MIA,04/09/2023,L,48,110,38,90,42.2,17,47,36.2,17,24,70.8,13,30,43,29,14,13,1,17,-13
UTA,UTA @ LAL,04/09/2023,L,48,117,51,101,50.5,10,35,28.6,5,6,83.3,7,38,45,31,11,4,4,16,-11
CLE,CLE vs. CHA,04/09/2023,L,48,95,35,89,39.3,10,37,27.0,15,16,93.8,11,33,44,27,16,9,5,24,-11
ATL,ATL @ BOS,04/09/2023,L,48,114,44,97,45.4,11,39,28.2,15,19,78.9,16,34,50,27,9,11,5,12,-6
NOP,NOP @ MIN,04/09/2023,L,48,108,40,90,44.4,3,21,14.3,25,29,86.2,11,38,49,18,15,13,3,24,-5
NYK,NYK vs. IND,04/09/2023,L,48,136,52,108,48.1,15,40,37.5,17,22,77.3,19,34,53,29,15,8,8,24,-5
WAS,WAS vs. HOU,04/09/2023,L,48,109,41,97,42.3,14,45,31.1,13,21,61.9,14,37,51,28,13,11,5,21,-5
PHX,PHX vs. LAC,04/09/2023,L,48,114,42,99,42.4,14,37,37.8,16,22,72.7,12,35,47,29,7,4,3,21,-5
POR,POR vs. GSW,04/09/2023,L,48,101,38,95,40.0,9,35,25.7,16,24,66.7,6,24,30,25,14,5,3,9,-56
MIN,MIN vs. NOP,04/09/2023,W,48,113,39,82,47.6,13,36,36.1,22,31,71.0,8,34,42,25,17,7,8,22,5
HOU,HOU @ WAS,04/09/2023,W,48,114,44,90,48.9,6,21,28.6,20,28,71.4,13,38,51,24,15,8,6,15,5
LAC,LAC @ PHX,04/09/2023,W,48,119,49,100,49.0,5,23,21.7,16,24,66.7,14,39,53,22,10,3,5,18,5
IND,IND @ NYK,04/09/2023,W,48,141,46,89,51.7,19,34,55.9,30,38,78.9,8,36,44,33,15,8,9,24,5
BOS,BOS vs. ATL,04/09/2023,W,48,120,42,89,47.2,25,54,46.3,11,14,78.6,12,35,47,33,15,5,3,13,6
CHA,CHA @ CLE,04/09/2023,W,48,106,37,81,45.7,6,32,18.8,26,30,86.7,10,39,49,23,19,8,5,14,11
LAL,LAL vs. UTA,04/09/2023,W,48,128,47,97,48.5,18,45,40.0,16,21,76.2,10,39,49,28,11,4,7,9,11
MIA,MIA vs. ORL,04/09/2023,W,48,123,45,83,54.2,18,44,40.9,15,20,75.0,7,37,44,30,18,10,3,20,13
DEN,DEN vs. SAC,04/09/2023,W,48,109,42,84,50.0,7,28,25.0,18,25,72.0,15,36,51,25,20,11,2,15,14
OKC,OKC vs. MEM,04/09/2023,W,48,115,45,90,50.0,12,36,33.3,13,16,81.3,8,41,49,30,16,5,2,17,15
TOR,TOR vs. MIL,04/09/2023,W,48,121,48,95,50.5,11,33,33.3,14,16,87.5,7,38,45,29,9,8,2,19,16
SAS,SAS @ DAL,04/09/2023,W,48,138,51,104,49.0,15,38,39.5,21,30,70.0,13,56,69,31,12,2,3,13,21
CHI,CHI vs. DET,04/09/2023,W,48,103,40,95,42.1,6,30,20.0,17,22,77.3,11,37,48,21,4,15,7,16,22
PHI,PHI @ BKN,04/09/2023,W,48,134,53,101,52.5,14,32,43.8,14,19,73.7,13,37,50,31,13,10,5,23,29
SAS,SAS vs. MIN,04/08/2023,L,48,131,50,95,52.6,13,29,44.8,18,24,75.0,10,35,45,34,13,5,4,16,-20
DEN,DEN @ UTA,04/08/2023,L,48,114,41,90,45.6,15,46,32.6,17,24,70.8,5,36,41,32,14,7,9,20,-4
UTA,UTA vs. DEN,04/08/2023,W,48,118,44,100,44.0,11,35,31.4,19,23,82.6,17,42,59,30,16,9,2,18,4
MIN,MIN @ SAS,04/08/2023,W,48,151,56,101,55.4,24,43,55.8,15,21,71.4,11,34,45,42,7,8,8,18,20
LAC,LAC vs. POR,04/08/2023,W,48,136,49,93,52.7,12,35,34.3,26,30,86.7,13,38,51,30,12,7,5,17,11
POR,POR @ LAC,04/08/2023,L,48,125,47,89,52.8,14,32,43.8,17,23,73.9,7,27,34,32,10,8,4,20,-11
MEM,MEM @ MIL,04/07/2023,W,48,137,53,93,57.0,20,42,47.6,11,15,73.3,11,33,44,39,12,9,6,20,23
