GAME DATE,H_TEAM,H_FINAL,H_MIN,H_PTS,H_FGM,H_FGA,H_FG%,H_3PM,H_3PA,H_3P%,H_FTM,H_FTA,H_FT%,H_OREB,H_DREB,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PF,H_+/-,A_TEAM,A_FINAL,A_MIN,A_PTS,A_FGM,A_FGA,A_FG%,A_3PM,A_3PA,A_3P%,A_FTM,A_FTA,A_FT%,A_OREB,A_DREB,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PF,A_+/-,POINT_TOTAL
04/10/2022,BKN,1,48.0,134.0,52.0,81.0,64.2,8.0,22.0,36.4,22.0,25.0,88.0,8.0,42.0,50.0,30.0,21.0,5.0,6.0,16.0,8.0,IND,0,48.0,126.0,47.0,104.0,45.2,19.0,46.0,41.3,13.0,19.0,68.4,11.0,19.0,30.0,32.0,7.0,16.0,1.0,23.0,-8.0,260.0
04/10/2022,MIN,0,48.0,120.0,46.0,91.0,50.5,11.0,31.0,35.5,17.0,22.0,77.3,9.0,23.0,32.0,30.0,13.0,7.0,9.0,23.0,-4.0,CHI,1,48.0,124.0,44.0,83.0,53.0,10.0,21.0,47.6,26.0,33.0,78.8,16.0,32.0,48.0,22.0,23.0,9.0,3.0,22.0,4.0,244.0
04/10/2022,MEM,0,48.0,110.0,39.0,102.0,38.2,15.0,47.0,31.9,17.0,27.0,63.0,19.0,26.0,45.0,27.0,10.0,11.0,6.0,16.0,-29.0,BOS,1,48.0,139.0,54.0,99.0,54.5,18.0,48.0,37.5,13.0,13.0,100.0,14.0,42.0,56.0,34.0,15.0,5.0,2.0,20.0,29.0,249.0
04/10/2022,POR,0,48.0,80.0,31.0,83.0,37.3,9.0,34.0,26.5,9.0,12.0,75.0,5.0,27.0,32.0,21.0,16.0,11.0,8.0,27.0,-31.0,UTA,1,48.0,111.0,37.0,82.0,45.1,9.0,36.0,25.0,28.0,38.0,73.7,15.0,45.0,60.0,23.0,17.0,8.0,6.0,16.0,31.0,191.0
04/10/2022,CLE,1,48.0,133.0,51.0,94.0,54.3,19.0,38.0,50.0,12.0,17.0,70.6,10.0,38.0,48.0,39.0,12.0,5.0,5.0,26.0,18.0,MIL,0,48.0,115.0,39.0,88.0,44.3,12.0,30.0,40.0,25.0,32.0,78.1,8.0,33.0,41.0,27.0,12.0,7.0,2.0,14.0,-18.0,248.0
04/10/2022,ORL,1,48.0,125.0,45.0,91.0,49.5,23.0,58.0,39.7,12.0,14.0,85.7,6.0,42.0,48.0,33.0,10.0,4.0,3.0,16.0,14.0,MIA,0,48.0,111.0,40.0,94.0,42.6,19.0,50.0,38.0,12.0,16.0,75.0,10.0,37.0,47.0,20.0,10.0,5.0,4.0,13.0,-14.0,236.0
04/10/2022,PHX,0,48.0,109.0,42.0,103.0,40.8,14.0,47.0,29.8,11.0,15.0,73.3,18.0,32.0,50.0,27.0,11.0,9.0,7.0,25.0,-7.0,SAC,1,48.0,116.0,40.0,76.0,52.6,14.0,26.0,53.8,22.0,30.0,73.3,2.0,38.0,40.0,26.0,15.0,9.0,7.0,18.0,7.0,225.0
04/10/2022,NOP,0,48.0,107.0,42.0,99.0,42.4,14.0,40.0,35.0,9.0,12.0,75.0,18.0,24.0,42.0,24.0,12.0,10.0,0.0,17.0,-21.0,GSW,1,48.0,128.0,49.0,81.0,60.5,19.0,33.0,57.6,11.0,13.0,84.6,7.0,34.0,41.0,33.0,17.0,5.0,2.0,15.0,21.0,235.0
04/10/2022,DAL,1,48.0,130.0,46.0,85.0,54.1,20.0,36.0,55.6,18.0,23.0,78.3,10.0,33.0,43.0,34.0,16.0,5.0,3.0,16.0,10.0,SAS,0,48.0,120.0,43.0,89.0,48.3,11.0,31.0,35.5,23.0,23.0,100.0,7.0,28.0,35.0,26.0,8.0,15.0,3.0,17.0,-10.0,250.0
04/10/2022,DEN,0,53.0,141.0,49.0,100.0,49.0,15.0,47.0,31.9,28.0,36.0,77.8,11.0,34.0,45.0,33.0,14.0,10.0,7.0,34.0,-5.0,LAL,1,53.0,146.0,44.0,94.0,46.8,16.0,43.0,37.2,42.0,47.0,89.4,13.0,37.0,50.0,26.0,13.0,4.0,6.0,24.0,5.0,287.0
